restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g1096209-d23300801,Tiffins by NEBU,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Jeremiášova 1249/7 MAKRO Stodůlky, Prague 15000 Czech Republic",50.041443,14.316185,Claimed,,#3180 of 4632 Restaurants in Prague,#3705 of 6176 places to eat in Prague,"Italian, Indian, Contemporary, Pub",,,"Lunch, Dinner, Drinks","Italian, Indian, Contemporary, Pub, Gastropub",,"Delivery, Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Free off-street parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Accepts Credit Cards, Table Service, BYOB, Dog Friendly, Non-smoking restaurants, Gift Cards Available",N,N,N,"{""Mon"": [""10:00-21:00""], ""Tue"": [""10:00-21:00""], ""Wed"": [""10:00-21:00""], ""Thu"": [""10:00-21:00""], ""Fri"": [""10:00-21:00""], ""Sat"": [""10:00-21:00""], ""Sun"": [""10:00-21:00""]}",7.0,77.0,7.0,5.0,1.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g274707-d10004577,The Spot Restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Chodska 1383/22, Prague 120 00 Czech Republic",50.07582,14.44583,Unclaimed,,,,,,,"Breakfast, Lunch, Dinner",,,,N,N,N,"{""Mon"": [""07:00-19:00""], ""Tue"": [], ""Wed"": [], ""Thu"": [], ""Fri"": [], ""Sat"": [], ""Sun"": []}",1.0,12.0,1.0,,,,,,,,,,,,,,
g274707-d10005582,Wine Deli,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Karoliny Svetle 328/35, Prague 110 00 Czech Republic",50.083977,14.414141,Unclaimed,,#2288 of 4632 Restaurants in Prague,#2725 of 6176 places to eat in Prague,Mid-range,€€-€€€,€4-€15,,,,,N,N,N,,,,,5.0,6.0,English,5.0,5.0,0.0,0.0,0.0,0.0,,,,,
g274707-d10021789,Restaurant Alche-Mia,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Bilkova 861/14, Prague 110 00 Czech Republic",50.09104,14.421202,Claimed,Certificate of Excellence 2017,#1062 of 4632 Restaurants in Prague,#1262 of 6176 places to eat in Prague,"Mid-range, European, Czech",€€-€€€,€3-€19,"Dinner, Lunch","Czech, European",,,N,N,N,"{""Mon"": [""11:30-00:00""], ""Tue"": [""11:30-00:00""], ""Wed"": [""11:30-00:00""], ""Thu"": [""11:30-00:00""], ""Fri"": [""11:30-00:00""], ""Sat"": [""11:30-00:00""], ""Sun"": []}",6.0,75.0,6.0,4.5,38.0,English,13.0,9.0,3.0,0.0,1.0,0.0,4.5,4.5,4.5,,
g274707-d10022835,Restaurace Šalanda,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Wilsonova 8, Prague Czech Republic",50.083355,14.433536,Claimed,,#4370 of 4632 Restaurants in Prague,#4983 of 6176 places to eat in Prague,"Mid-range, Bar, European, Pub",€€-€€€,,Lunch,"Bar, European, Pub, Czech, Central European",,"Seating, Wheelchair Accessible, Serves Alcohol, Table Service, Reservations",N,N,N,,,,,3.0,76.0,English,28.0,2.0,8.0,10.0,1.0,7.0,3.0,3.0,3.0,,
g274707-d10023401,Bridge Restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Novotneho lavka 200/3, Prague 110 00 Czech Republic",50.0853,14.413288,Unclaimed,,#4535 of 4632 Restaurants in Prague,#5159 of 6176 places to eat in Prague,"Mid-range, Bar, European, Czech",€€-€€€,,"Lunch, Dinner","Bar, European, Eastern European, Central European, Czech",,"Seating, Serves Alcohol, Table Service, Full Bar",N,N,N,,,,,2.5,99.0,English,47.0,8.0,6.0,12.0,7.0,14.0,3.5,3.0,3.0,,
g274707-d10026163,Creme De La Creme,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Husova 12, Prague 110 00 Czech Republic",50.085686,14.418253,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#5 of 202 Dessert Spots in Prague,#80 of 6176 places to eat in Prague,"Cheap Eats, Dessert, Cafe, Vegetarian Friendly",€,,,Cafe,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Takeout, Seating, Free Wifi, Accepts Credit Cards",Y,Y,Y,"{""Mon"": [""11:00-22:00""], ""Tue"": [""11:00-22:00""], ""Wed"": [""11:00-22:00""], ""Thu"": [""11:00-22:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": [""11:00-22:00""]}",7.0,79.0,7.0,4.5,741.0,English,352.0,283.0,53.0,7.0,3.0,6.0,4.5,4.5,4.5,,"gelato, ice cream, gelateria, waffle cone, sorbet"
g274707-d10027206,Sapori Italiani,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Preslova 11/1256, Prague 15000 Czech Republic",50.07399,14.40642,Unclaimed,,#3803 of 4632 Restaurants in Prague,#4370 of 6176 places to eat in Prague,Cheap Eats,€,€1-€8,,,,,N,N,N,,,,,4.0,1.0,English,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g274707-d10031086,Bun Noodles,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Milady Horakove 526/77, Prague 170 00 Czech Republic",50.09907,14.4165,Unclaimed,,#3412 of 4632 Restaurants in Prague,#3953 of 6176 places to eat in Prague,,,,,,,,N,N,N,,,,,4.5,2.0,English,2.0,1.0,1.0,0.0,0.0,0.0,,,,,
g274707-d10032997,Periferie Cafe,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Branicka 49, Prague 140 00 Czech Republic",50.036957,14.412217,Unclaimed,,#1594 of 4632 Restaurants in Prague,#1911 of 6176 places to eat in Prague,"Mid-range, Cafe",€€-€€€,,"Breakfast, Lunch, Dinner",Cafe,,,N,N,N,"{""Mon"": [""08:30-22:00""], ""Tue"": [""08:30-22:00""], ""Wed"": [""08:30-22:00""], ""Thu"": [""08:30-22:00""], ""Fri"": [""08:30-22:00""], ""Sat"": [""10:00-22:00""], ""Sun"": [""14:00-20:00""]}",7.0,85.5,7.0,4.5,15.0,English,3.0,2.0,1.0,0.0,0.0,0.0,4.5,4.0,4.5,,
g274707-d10033028,Kavárna - Cukrárna Elvíra,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Zelena 744/4, Prague 160 00 Czech Republic",50.107147,14.395451,Claimed,,#179 of 410 Coffee & Tea in Prague,#1702 of 6176 places to eat in Prague,"Cheap Eats, Dessert, Cafe, Diner",€,,"Drinks, Brunch","Cafe, Diner",,"Takeout, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Seating, Accepts Credit Cards, Table Service",N,N,N,"{""Mon"": [""09:00-19:00""], ""Tue"": [""09:00-19:00""], ""Wed"": [""09:00-19:00""], ""Thu"": [""09:00-19:00""], ""Fri"": [""09:00-19:00""], ""Sat"": [""09:00-19:00""], ""Sun"": [""09:00-19:00""]}",7.0,70.0,7.0,4.5,16.0,English,5.0,4.0,1.0,0.0,0.0,0.0,4.5,4.0,4.0,,
g274707-d10033524,Mechanický Balet,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Zitna 52, Prague 120 00 Czech Republic",50.07705,14.430292,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#574 of 4632 Restaurants in Prague,#675 of 6176 places to eat in Prague,"Mid-range, Bar, European, Czech",€€-€€€,,,,,,N,N,N,"{""Mon"": [""11:00-00:00""], ""Tue"": [""11:00-00:00""], ""Wed"": [""11:00-00:00""], ""Thu"": [""11:00-00:00""], ""Fri"": [""11:00-00:00""], ""Sat"": [""12:00-00:00""], ""Sun"": []}",6.0,77.0,6.0,4.5,97.0,English,43.0,30.0,6.0,4.0,1.0,2.0,4.5,4.0,4.5,,"salad, schnitzel, fresh food, last night, traditional czech"
g274707-d10035893,Film Café Barrandov Studio,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Krizheneckeho namesti 322/5, Prague 152 00 Czech Republic",50.02894,14.39043,Claimed,,#398 of 410 Coffee & Tea in Prague,#5104 of 6176 places to eat in Prague,"Cheap Eats, Dessert",€,€2-€5,,,,,N,N,N,,,,,5.0,1.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g274707-d10041561,Bonimi Bistro,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Ceskoslovenske Armady 714/30 Praha 6, Prague 16000 Czech Republic",50.1007,14.3998,Unclaimed,,#2316 of 4632 Restaurants in Prague,#2754 of 6176 places to eat in Prague,Mid-range,€€-€€€,,Brunch,,,Reservations,N,N,N,,,,,4.0,13.0,English,8.0,5.0,1.0,0.0,1.0,1.0,,,,,
g274707-d10044130,Pho U Letne,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Nad shtolou 1017/16, Prague 170 00 Czech Republic",50.099384,14.422003,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2018, Certificate of Excellence 2017",#663 of 4632 Restaurants in Prague,#783 of 6176 places to eat in Prague,"Cheap Eats, Asian, Thai, Vietnamese",€,,"Lunch, Dinner","Asian, Thai, Vietnamese","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""11:00-22:00""], ""Tue"": [""11:00-22:00""], ""Wed"": [""11:00-22:00""], ""Thu"": [""11:00-22:00""], ""Fri"": [""11:00-22:00""], ""Sat"": [""12:00-22:00""], ""Sun"": [""12:00-22:00""]}",7.0,75.0,7.0,4.5,79.0,English,34.0,22.0,6.0,2.0,3.0,1.0,4.5,4.0,4.5,,"pho, spring rolls, beef, big portions, great food"
g274707-d10049373,Coffee in Garden,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Staré Zámecké Schody Mala Strana, Prague Czech Republic",50.09192,14.406533,Claimed,,#284 of 410 Coffee & Tea in Prague,#2659 of 6176 places to eat in Prague,"Mid-range, Bar, Cafe, European",€€-€€€,,"Brunch, Drinks","Cafe, Bar, European, Pub, Czech",,"Seating, Outdoor Seating, Serves Alcohol, Wine and Beer, Cash Only",N,N,N,"{""Mon"": [""10:00-17:00""], ""Tue"": [""10:00-17:00""], ""Wed"": [""10:00-17:00""], ""Thu"": [""10:00-17:00""], ""Fri"": [""10:00-17:00""], ""Sat"": [""10:00-17:00""], ""Sun"": [""10:00-17:00""]}",7.0,49.0,7.0,4.0,17.0,English,10.0,5.0,2.0,0.0,2.0,1.0,4.5,4.5,4.5,,
g274707-d10050565,Biblioteca del vino,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Komunardů 32, Prague Czech Republic",50.10391,14.45013,Claimed,,#247 of 410 Coffee & Tea in Prague,#2353 of 6176 places to eat in Prague,"Mid-range, Dessert, Italian",€€-€€€,,"After-hours, Drinks",Italian,,"Seating, Serves Alcohol, Full Bar, Wine and Beer, Digital Payments, Free Wifi, Family style, Non-smoking restaurants",N,N,N,"{""Mon"": [], ""Tue"": [""18:00-23:00""], ""Wed"": [""18:00-23:00""], ""Thu"": [""18:00-23:00""], ""Fri"": [""18:00-23:00""], ""Sat"": [], ""Sun"": []}",4.0,20.0,4.0,5.0,8.0,English,5.0,4.0,1.0,0.0,0.0,0.0,5.0,5.0,4.5,,
g274707-d10050679,Fuse Lounge Restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Truhlarska 1520/23, Prague 110 00 Czech Republic",49.95244,14.74982,Unclaimed,,#3942 of 4632 Restaurants in Prague,#4518 of 6176 places to eat in Prague,Vietnamese,,,,Vietnamese,,,N,N,N,,,,,4.0,1.0,All languages,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g274707-d10052335,Restaurace U Trumpety,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Pesine 428, Prague 18400 Czech Republic",50.145985,14.446821,Unclaimed,,#2657 of 4632 Restaurants in Prague,#3138 of 6176 places to eat in Prague,"Mid-range, International",€€-€€€,,,International,,,N,N,N,,,,,3.5,20.0,English,4.0,3.0,1.0,0.0,0.0,0.0,4.0,3.5,4.0,,
g274707-d10057606,Waipawa,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Kodaňská 22, Prague 11000 Czech Republic",50.07067,14.45839,Unclaimed,,#1436 of 4632 Restaurants in Prague,#1717 of 6176 places to eat in Prague,"Cheap Eats, European, Czech, Vegetarian Friendly",€,,,"European, Czech",Vegetarian Friendly,Reservations,Y,N,N,,,,,4.5,17.0,English,8.0,5.0,3.0,0.0,0.0,0.0,4.5,4.5,4.5,,
g274707-d10057876,Tesco Stores,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Vrsovicka 1527 68b, Prague 100 00 Czech Republic",50.06807,14.468251,Unclaimed,,#4 of 8 Speciality Food Markets in Prague,#1585 of 6176 places to eat in Prague,"Cheap Eats, Speciality Food Market, Vegetarian Friendly",€,,Brunch,,Vegetarian Friendly,"Wheelchair Accessible, Takeout",Y,N,N,,,,,4.0,50.0,English,20.0,5.0,11.0,1.0,1.0,2.0,4.5,4.0,4.5,,
g274707-d10066825,Pivnice Smíchoff Restaurant and Pub,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Moulikova 2240/5, Prague 150 00 Czech Republic",50.06014,14.41029,Unclaimed,,#3375 of 4632 Restaurants in Prague,#3914 of 6176 places to eat in Prague,"European, Czech",,,,"European, Czech",,,N,N,N,,,,,4.0,3.0,English,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g274707-d10068657,Pekarna Praktika,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Belehradska 990/66, Prague 120 00 Czech Republic",50.06988,14.43278,Unclaimed,,#1422 of 4632 Restaurants in Prague,#1700 of 6176 places to eat in Prague,"Mid-range, Cafe",€€-€€€,,Breakfast,Cafe,,Table Service,N,N,N,,,,,5.0,15.0,English,11.0,11.0,0.0,0.0,0.0,0.0,5.0,5.0,4.5,,
g274707-d10071388,Espressionista Café by Veolia,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Florenci 2116/15, Prague 11000 Czech Republic",50.08864,14.43575,Unclaimed,,#307 of 410 Coffee & Tea in Prague,#3078 of 6176 places to eat in Prague,"Dessert, Cafe",,,,Cafe,,,N,N,N,,,,,4.5,5.0,All languages,5.0,2.0,3.0,0.0,0.0,0.0,,,,,
g274707-d10072387,Cafe restaurant Colibri,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Dittrichova 1773/25, Prague 120 00 Czech Republic",50.076473,14.415202,Claimed,Certificate of Excellence 2017,#1017 of 4632 Restaurants in Prague,#1205 of 6176 places to eat in Prague,"Mid-range, European, Vegetarian Friendly",€€-€€€,€3-€12,,European,Vegetarian Friendly,,Y,N,N,,,,,4.5,39.0,English,14.0,10.0,2.0,2.0,0.0,0.0,5.0,4.5,5.0,,
g274707-d10074535,Antonínovo pekařství,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Laubova 1689/4 Praha 3, Prague 130 00 Czech Republic",50.07881,14.45001,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#14 of 49 Bakeries in Prague,#720 of 6176 places to eat in Prague,"Cheap Eats, Bakeries, Cafe, European",€,,,,,,N,N,N,"{""Mon"": [""07:30-19:30""], ""Tue"": [""07:30-19:30""], ""Wed"": [""07:30-19:30""], ""Thu"": [""07:30-19:30""], ""Fri"": [""07:30-19:30""], ""Sat"": [""07:30-19:30""], ""Sun"": [""07:30-19:30""]}",7.0,84.0,7.0,4.5,100.0,English,40.0,24.0,10.0,4.0,1.0,1.0,4.5,4.5,4.5,,
g274707-d10074556,Antoninovo Pekarstvi,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Moskevska 450/38 Praha 10, Prague 101 00 Czech Republic",50.06885,14.45657,Claimed,,#154 of 410 Coffee & Tea in Prague,#1471 of 6176 places to eat in Prague,"Cheap Eats, Cafe, European, Czech",€,€0-€4,,"Cafe, European, Czech",Vegetarian Friendly,,Y,N,N,,,,,4.5,24.0,English,8.0,6.0,2.0,0.0,0.0,0.0,4.5,4.5,4.5,,
g274707-d10081950,Restaurace Podolka,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Šaldova 34, Prague 186 00 Czech Republic",50.09465,14.454761,Claimed,Certificate of Excellence 2017,#1303 of 4632 Restaurants in Prague,#1558 of 6176 places to eat in Prague,"Mid-range, European, Czech, Central European",€€-€€€,,"Lunch, Dinner","European, Czech, Central European","Vegetarian Friendly, Vegan Options",,Y,Y,N,,,,,4.0,95.0,English,36.0,13.0,13.0,3.0,2.0,5.0,4.0,3.5,3.5,,"burger, beef, fries, tram stop, vegetables"
g274707-d1008284,Pivovar u Bulovky,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Bulovka 373/17, Prague 180 00 Czech Republic",50.11518,14.466328,Unclaimed,"Certificate of Excellence 2017, Certificate of Excellence 2016",#830 of 4632 Restaurants in Prague,#981 of 6176 places to eat in Prague,"Cheap Eats, Bar, European, Pub",€,,"Lunch, Dinner, Drinks","Bar, Czech, Central European, European, Pub",,"Reservations, Seating, Serves Alcohol, Table Service",N,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""12:00-00:00""], ""Sun"": [""12:00-23:00""]}",7.0,83.0,7.0,4.5,99.0,English,41.0,27.0,12.0,1.0,1.0,0.0,4.5,4.0,4.5,4.5,
g274707-d10083871,Yami Sushi Bistro,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Dlouha 727/39, Prague 110 00 Czech Republic",50.091473,14.426207,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017",#353 of 4632 Restaurants in Prague,#409 of 6176 places to eat in Prague,"Mid-range, Japanese, Sushi, Asian",€€-€€€,,"Lunch, Dinner","Japanese, Sushi, Asian","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""11:00-22:00""], ""Tue"": [""11:00-22:00""], ""Wed"": [""11:00-22:00""], ""Thu"": [""11:00-22:00""], ""Fri"": [""11:00-22:00""], ""Sat"": [""11:00-22:00""], ""Sun"": [""11:00-22:00""]}",7.0,77.0,7.0,4.5,124.0,English,56.0,42.0,10.0,1.0,2.0,1.0,5.0,4.5,4.5,,
g274707-d10085350,Punjabi Tadka,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Chlumova 22, Prague Czech Republic",50.08578,14.452951,Claimed,,#4210 of 4632 Restaurants in Prague,#4813 of 6176 places to eat in Prague,Mid-range,€€-€€€,,"Lunch, Dinner, Drinks",,,,N,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""12:00-23:00""], ""Sun"": []}",6.0,71.0,6.0,3.5,6.0,English,4.0,1.0,0.0,3.0,0.0,0.0,,,,,
g274707-d10089721,Home Kitchen Anděl's City,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Radlická 3185/ 1B, Prague 15000 Czech Republic",50.071526,14.401981,Claimed,,#1185 of 4632 Restaurants in Prague,#1412 of 6176 places to eat in Prague,"Mid-range, Cafe, European, Vegetarian Friendly",€€-€€€,,"Breakfast, Lunch, Brunch, Dinner","Cafe, European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""07:30-22:00""], ""Tue"": [""07:30-22:00""], ""Wed"": [""07:30-22:00""], ""Thu"": [""07:30-22:00""], ""Fri"": [""07:30-22:00""], ""Sat"": [""08:00-22:00""], ""Sun"": [""08:00-22:00""]}",7.0,100.5,7.0,4.0,46.0,English,24.0,10.0,10.0,3.0,1.0,0.0,4.5,4.5,4.5,,
g274707-d10092265,Café Ebel,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"11 Kaprova, Prague Czech Republic",50.08822,14.41832,Unclaimed,,#76 of 410 Coffee & Tea in Prague,#780 of 6176 places to eat in Prague,"Mid-range, Dessert, Cafe",€€-€€€,,Breakfast,Cafe,,Seating,N,N,N,"{""Mon"": [""08:30-19:00""], ""Tue"": [""08:30-19:00""], ""Wed"": [""08:30-19:00""], ""Thu"": [""08:30-19:00""], ""Fri"": [""08:30-19:00""], ""Sat"": [""10:00-19:00""], ""Sun"": [""10:00-19:00""]}",7.0,70.5,7.0,4.5,56.0,English,33.0,26.0,7.0,0.0,0.0,0.0,4.5,4.5,4.5,,
g274707-d10093182,La Dolce,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Prachska 3315/8f, Prague 106 00 Czech Republic",50.05291,14.5039,Unclaimed,,#367 of 410 Coffee & Tea in Prague,#4259 of 6176 places to eat in Prague,Dessert,,,,,,,N,N,N,,,,,5.0,1.0,All languages,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g274707-d1009909,Pod Mostem,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Saska 80/1, Prague 118 00 Czech Republic",50.08698,14.40681,Claimed,,#2547 of 4632 Restaurants in Prague,#3017 of 6176 places to eat in Prague,"Mid-range, Bar, European, Grill",€€-€€€,€7-€20,"Lunch, Dinner, Drinks","Grill, Bar, European, Pub, Czech, Central European",,,N,N,N,"{""Mon"": [""12:00-22:00""], ""Tue"": [""12:00-22:00""], ""Wed"": [""12:00-22:00""], ""Thu"": [""12:00-22:00""], ""Fri"": [""12:00-22:00""], ""Sat"": [""12:00-22:00""], ""Sun"": [""12:00-22:00""]}",7.0,70.0,7.0,3.5,65.0,English,38.0,12.0,13.0,3.0,2.0,8.0,3.5,3.5,3.5,,
g274707-d10105292,Phills Corner,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Komunardu 894/32, Prague 170 00 Czech Republic",50.104053,14.450144,Claimed,Certificate of Excellence 2019,#1122 of 4632 Restaurants in Prague,#1336 of 6176 places to eat in Prague,"Mid-range, American, Cafe, British",€€-€€€,€0-€8,,"Cafe, American, British","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""07:30-22:00""], ""Tue"": [""07:30-22:00""], ""Wed"": [""07:30-22:00""], ""Thu"": [""07:30-22:00""], ""Fri"": [""07:30-22:00""], ""Sat"": [], ""Sun"": [""09:00-18:00""]}",6.0,81.5,6.0,4.0,62.0,English,25.0,11.0,9.0,1.0,2.0,2.0,4.5,4.0,4.0,,
g274707-d10108860,Pizzeria al Infinito,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Nádražní 190 Vrané nad Vltavou, Prague 252 46 Czech Republic",50.07192,14.40438,Unclaimed,,#3938 of 4632 Restaurants in Prague,#4514 of 6176 places to eat in Prague,,,,"Lunch, Dinner",,,,N,N,N,"{""Mon"": [""11:00-22:00""], ""Tue"": [""11:00-22:00""], ""Wed"": [""11:00-22:00""], ""Thu"": [""11:00-22:00""], ""Fri"": [""11:00-22:00""], ""Sat"": [""11:00-22:00""], ""Sun"": [""11:00-22:00""]}",7.0,77.0,7.0,4.0,1.0,All languages,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g274707-d10109035,La Terra Coffee,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Vyšehradská Suite 22, Prague 120 00 Czech Republic",50.071297,14.418884,Claimed,,#116 of 410 Coffee & Tea in Prague,#1189 of 6176 places to eat in Prague,"Mid-range, Cafe, British, Vegetarian Friendly",€€-€€€,€1-€3,,"Cafe, British",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""07:00-19:00""], ""Tue"": [""07:00-19:00""], ""Wed"": [""07:00-19:00""], ""Thu"": [""07:00-19:00""], ""Fri"": [""07:00-19:00""], ""Sat"": [""09:00-18:00""], ""Sun"": [""09:00-18:00""]}",7.0,78.0,7.0,4.5,28.0,English,15.0,12.0,2.0,1.0,0.0,0.0,4.5,4.5,4.5,,
g274707-d10116089,TASTY Döner Kebab,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Konecchlumskeho 672/9, Prague 169 00 Czech Republic",50.08289,14.36382,Unclaimed,,#2191 of 4632 Restaurants in Prague,#2616 of 6176 places to eat in Prague,"Cheap Eats, Turkish",€,,,Turkish,,,N,N,N,,,,,4.5,6.0,All languages,6.0,4.0,2.0,0.0,0.0,0.0,,,,,
g274707-d10125390,Vegan's Restaurant Prague,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Nerudova 221/36, Prague 118 00 Czech Republic",50.088516,14.398141,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",#45 of 4632 Restaurants in Prague,#48 of 6176 places to eat in Prague,"Mid-range, European, Healthy, Czech",€€-€€€,,"Lunch, Dinner, Brunch","European, Healthy, Czech, Central European","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [""11:30-21:30""], ""Tue"": [""11:30-21:30""], ""Wed"": [""11:30-21:30""], ""Thu"": [""11:30-21:30""], ""Fri"": [""11:30-21:30""], ""Sat"": [""11:30-21:30""], ""Sun"": [""11:30-21:30""]}",7.0,70.0,7.0,4.5,1516.0,English,839.0,686.0,109.0,30.0,10.0,4.0,4.5,5.0,4.5,,"lasagna, avocado starter, guacamole, dumplings, svickova"
