restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g274707-d7197065,Buta Restaurant and Lounge,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Navratilova 1421/11, Prague 110 00 Czech Republic",50.07862,14.42304,Unclaimed,,#3017 of 4632 Restaurants in Prague,#3527 of 6176 places to eat in Prague,Mid-range,€€-€€€,,,,,,N,N,N,,,,,5.0,3.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g274707-d7199231,U Modre Boty,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Mostecka 52/6, Prague 118 00 Czech Republic",50.087296,14.40642,Claimed,,#4475 of 4632 Restaurants in Prague,#5094 of 6176 places to eat in Prague,"Mid-range, European, Czech, Central European",€€-€€€,,"Lunch, Dinner","European, Czech, Central European",,"Reservations, Seating, Serves Alcohol, Table Service",N,N,N,"{""Mon"": [""12:00-23:00""], ""Tue"": [""12:00-23:00""], ""Wed"": [""12:00-23:00""], ""Thu"": [""12:00-23:00""], ""Fri"": [""12:00-23:00""], ""Sat"": [""12:00-23:00""], ""Sun"": [""12:00-23:00""]}",7.0,77.0,7.0,3.0,89.0,English,28.0,7.0,8.0,2.0,1.0,10.0,3.0,3.0,3.0,,
g274707-d7208879,Bar 23,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Kremencova 149/23, Prague 110 00 Czech Republic",50.079693,14.416438,Unclaimed,,#1470 of 4632 Restaurants in Prague,#1760 of 6176 places to eat in Prague,"Mid-range, Bar, Pub",€€-€€€,,Lunch,"Bar, Pub",,"Seating, Serves Alcohol, Table Service",N,N,N,"{""Mon"": [""12:00-04:00""], ""Tue"": [""12:00-04:00""], ""Wed"": [""12:00-04:00""], ""Thu"": [""12:00-04:00""], ""Fri"": [""12:00-04:00""], ""Sat"": [""12:00-04:00""], ""Sun"": [""12:00-04:00""]}",7.0,112.0,7.0,4.0,37.0,English,21.0,12.0,4.0,0.0,1.0,4.0,,5.0,5.0,,
g274707-d7209419,Agave Restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Masna 620/2, Prague 110 00 Czech Republic",50.08927,14.423072,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#120 of 4632 Restaurants in Prague,#142 of 6176 places to eat in Prague,"Mid-range, Mexican, Latin, International",€€-€€€,€8-€25,,"Mexican, Latin, Central American, International","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [], ""Tue"": [], ""Wed"": [""16:00-22:00""], ""Thu"": [""16:00-22:00""], ""Fri"": [""16:00-22:00""], ""Sat"": [""12:00-22:00""], ""Sun"": [""12:00-22:00""]}",5.0,38.0,5.0,4.5,1476.0,English,935.0,653.0,202.0,41.0,24.0,15.0,4.5,4.5,4.5,4.5,"tacos, guacamole, burrito, fried avocado, churros"
g274707-d7212107,Gourmet Deli and Bar,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Prikope 31 Pasaz Palace Broadway, Prague Czech Republic",50.0866,14.42698,Unclaimed,,#3633 of 4632 Restaurants in Prague,#4192 of 6176 places to eat in Prague,International,,,,International,,,N,N,N,,,,,4.0,4.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g274707-d7213456,Mozaika Beer & Restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Nitranska 13, Prague 130 00 Czech Republic",50.07645,14.45022,Claimed,,#2201 of 4632 Restaurants in Prague,#2627 of 6176 places to eat in Prague,"Mid-range, Bar, Pub",€€-€€€,,"Dinner, Lunch","Bar, Pub",,"Takeout, Seating, Reservations",N,N,N,"{""Mon"": [], ""Tue"": [""18:00-23:00""], ""Wed"": [""18:00-23:00""], ""Thu"": [""18:00-23:00""], ""Fri"": [""18:00-23:00""], ""Sat"": [""18:00-23:00""], ""Sun"": []}",5.0,25.0,5.0,4.0,19.0,English,13.0,4.0,4.0,1.0,4.0,0.0,4.0,4.0,3.0,,
g274707-d7221143,Flavours Wine&Deli,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Zahrebska 29, Prague 120 00 Czech Republic",50.0726,14.43851,Claimed,,#1687 of 4632 Restaurants in Prague,#2028 of 6176 places to eat in Prague,"Mid-range, Wine Bar",€€-€€€,,"Dinner, After-hours",Wine Bar,,"Outdoor Seating, Seating, Television, Highchairs Available, Serves Alcohol, Wine and Beer, Digital Payments, Free Wifi",N,N,N,"{""Mon"": [], ""Tue"": [], ""Wed"": [""17:00-22:00""], ""Thu"": [""17:00-22:00""], ""Fri"": [""17:00-22:00""], ""Sat"": [""17:00-22:00""], ""Sun"": []}",4.0,20.0,4.0,5.0,13.0,English,5.0,4.0,1.0,0.0,0.0,0.0,4.5,5.0,5.0,,
g274707-d7221532,Prostor Bar & Restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Lidicka 653/25 Praha 5, Ctvrt Smichov, Prague 150 00 Czech Republic",50.072346,14.406823,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#463 of 4632 Restaurants in Prague,#534 of 6176 places to eat in Prague,"Mid-range, Bar, European, Czech",€€-€€€,,"Lunch, Dinner","Bar, European, Central European, Czech","Vegetarian Friendly, Gluten Free Options",,Y,N,Y,"{""Mon"": [""10:30-00:00""], ""Tue"": [""10:30-01:00""], ""Wed"": [""10:30-01:00""], ""Thu"": [""10:30-02:00""], ""Fri"": [""10:30-01:00""], ""Sat"": [""12:00-00:00""], ""Sun"": []}",6.0,84.5,6.0,4.5,171.0,English,72.0,43.0,19.0,7.0,1.0,2.0,4.5,4.5,4.5,4.5,"burger, ribs, homemade pasta, ravioli, salmon"
g274707-d7222354,Bad Jeff's Barbeque,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Americka 32 Vinohrady, Prague 120 00 Czech Republic",50.07347,14.437451,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#37 of 4632 Restaurants in Prague,#40 of 6176 places to eat in Prague,"Mid-range, American, Bar, International",€€-€€€,€7-€30,,"American, Bar, Barbecue, International, Fusion",Gluten Free Options,,N,N,Y,"{""Mon"": [""12:00-22:00""], ""Tue"": [""12:00-22:00""], ""Wed"": [""12:00-22:00""], ""Thu"": [""12:00-22:00""], ""Fri"": [""12:00-22:00""], ""Sat"": [""12:00-22:00""], ""Sun"": [""11:00-21:00""]}",7.0,70.0,7.0,4.5,1306.0,English,868.0,703.0,127.0,24.0,8.0,6.0,4.5,5.0,4.5,4.0,"brisket, curly fries, mac cheese, burger, tasting menu"
g274707-d7223149,Vinohradsky Pivovar,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Korunni 2056/106, Prague 110 00 Czech Republic",50.07549,14.4575,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#189 of 4632 Restaurants in Prague,#219 of 6176 places to eat in Prague,"Mid-range, Bar, European, Pub",€€-€€€,€4-€12,,"Bar, European, Pub, Czech, Central European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:00-00:00""], ""Tue"": [""11:00-00:00""], ""Wed"": [""11:00-00:00""], ""Thu"": [""11:00-00:00""], ""Fri"": [""11:00-00:00""], ""Sat"": [""11:00-00:00""], ""Sun"": [""11:00-00:00""]}",7.0,91.0,7.0,4.5,298.0,English,144.0,91.0,42.0,8.0,3.0,0.0,4.5,4.5,4.5,4.0,"pork brisket, dumplings, great beer, brew pub, beer tour"
